"","Mean","StdDev","lower 0.89","upper 0.89","n_eff","Rhat"
"a[1]",0.009,0.049,-0.07,0.085,10000,1
"a[2]",-0.014,0.05,-0.093,0.067,10000,1
"a[3]",-0.014,0.049,-0.089,0.067,10000,1
"a[4]",-0.009,0.049,-0.087,0.069,10000,1
"a[5]",0.01,0.05,-0.072,0.089,10000,1
"a[6]",-0.016,0.05,-0.093,0.066,10000,1
"a[7]",0.011,0.051,-0.068,0.095,10000,1
"a[8]",0.004,0.05,-0.077,0.082,10000,1
"a[9]",0.011,0.05,-0.067,0.09,10000,1
"a[10]",0.014,0.05,-0.063,0.095,10000,1
"bP",-0.014,0.007,-0.025,-0.003,8757.679,1
"bL",0.241,0.163,-0.018,0.503,8222.861,1
"bT",0.107,0.149,-0.118,0.355,7478.183,1
"bPT",0,0.002,-0.002,0.003,7351.442,1
"bLT",0.034,0.062,-0.06,0.137,7961.587,1
