"","WAIC","pWAIC","dWAIC","weight","SE","dSE"
"m_full",130.879,4.077,0,0.323,7.82,NA
"m_linked_n_round_random",131.349,2.336,0.47,0.255,5.736,5.144
"m_performance_round_random",132.757,3.144,1.878,0.126,7.011,2.547
"m_linked_n_random",133.61,0.788,2.732,0.082,4.06,6.868
"m_performance_round",133.764,3.136,2.885,0.076,7.088,2.528
"m_performance_linked_n",134.684,1.522,3.805,0.048,3.919,6.782
"m_linked_n",134.768,0.764,3.889,0.046,4.151,6.866
"m_linked_n_round",135.455,2.157,4.576,0.033,5.981,5.138
"m_performance_random",138.765,1.143,7.886,0.006,3.06,7.381
"m_performance",139.716,1.047,8.837,0.004,3.101,7.36
