"link","group_ID","linked_n","confidence","guess_n","is_success","round","performance","friends","semantic"
"abstract",2,2,8,2,1,1,100,0,3.60416666666667
"alive",4,2,8,1,0,12,50,1,5.275
"ananas",7,1,10,1,1,12,100,1,3.4375
"animal",9,3,9,3,1,4,100,1,2.45
"animal",8,3,8,3,1,3,100,1,2.45
"art",10,1,10,1,1,5,100,1,2.125
"art",1,1,10,1,1,7,100,1,2.125
"assassin",5,2,8,1,0,2,50,1,7.45
"bald",10,2,7,1,0,4,50,1,6.1875
"bird",2,1,10,1,1,6,100,0,1.66666666666667
"bird",6,1,10,1,1,8,100,0,1.66666666666667
"black",5,2,9,1,0,3,50,1,5.61473684210526
"bread",1,1,10,1,1,8,100,1,2.9
"choking",5,2,10,2,1,6,100,1,7.89583333333333
"cold",2,2,9,2,1,4,100,0,3.065
"coldness",4,2,8,1,0,4,50,1,3.1525
"comics",9,4,8,2,0,1,50,1,6.60666666666667
"cone",10,1,10,1,1,10,100,1,2.875
"creating",11,2,5,2,1,5,100,0,4.26
"creativity",6,2,5,2,1,7,100,0,3.2134
"dark",10,1,8,1,1,9,100,1,2.625
"dead",10,1,10,1,1,12,100,1,2.96
"dead",11,1,9,1,1,8,100,0,2.96
"doctor",5,3,8,1,0,4,33.33,1,8.05333333333333
"edible",6,2,8,1,0,2,50,0,2.96666666666667
"enemy",1,3,8,1,0,3,33.33,1,7.18888888888889
"eskimo",7,2,1,2,1,14,100,1,5.58
"fairytale",6,1,10,1,1,13,100,0,4.875
"fairytale",6,2,5,1,0,1,50,0,4.875
"flavour",7,2,7,1,0,2,50,1,3.21217105263158
"flora",11,1,10,1,1,10,100,0,4.2
"fly",8,2,6,1,0,2,50,1,3.65625
"fly",7,2,9,1,0,8,50,1,3.65625
"flying",1,2,10,1,0,10,50,1,3.445
"flying",4,2,8,1,0,8,50,1,3.445
"food",4,2,9,2,1,10,100,1,2.36416666666667
"foodmaking",8,3,6,2,0,1,66.67,1,2.32777777777778
"forest",3,1,10,1,1,6,100,0,2.54166666666667
"freezing",11,2,7,1,0,4,50,0,3.8125
"furry",10,1,9,1,1,2,100,1,3.115
"furry",7,2,9,2,1,4,100,1,3.115
"gamer",5,4,9,2,0,1,50,1,7.86354166666667
"ground",6,3,5,3,1,5,100,0,4.29722222222222
"hell",2,2,7,2,1,7,100,0,7.18516666666667
"hell",7,2,7,1,0,1,50,1,7.18516666666667
"hell",5,4,7,3,0,7,75,1,7.18516666666667
"heroine",4,2,9,1,0,5,50,1,6.75
"hideout",1,2,8,1,0,9,50,1,5.8125
"house",9,1,9,1,1,5,100,1,2.6
"hunger",1,5,8,2,0,1,40,1,5.89985087719298
"idiot",1,5,7,2,0,2,40,1,8.81293859649123
"ingredient",11,2,9,2,1,6,100,0,2.67125
"ingredient",3,2,8,2,1,4,100,0,2.67125
"ingredients",2,2,9,2,1,2,100,0,2.7875
"insect",7,1,10,1,1,9,100,1,2.56
"insect",2,1,10,1,1,11,100,0,2.56
"insect",10,1,10,1,1,7,100,1,2.56
"intelligence",9,4,7,2,0,3,50,1,6.03604166666667
"joke",5,2,9,2,1,8,100,1,9.1475
"lady",6,2,5,1,0,11,50,0,2.4865
"mammal",2,2,10,2,1,5,100,0,3.51754385964912
"mammals",4,3,8,2,0,2,66.67,1,4.3469298245614
"marvel",1,2,9,1,0,5,50,1,5.01973684210526
"melting",10,2,6,2,1,8,100,1,3.08333333333333
"milk",9,3,8,1,0,2,33.33,1,4.57631578947368
"miracle",7,1,10,1,1,11,100,1,2.35
"monster",11,2,8,2,1,1,100,0,2.95263157894737
"monument",5,1,9,1,1,5,100,1,1.88
"nightmare",1,1,10,1,1,12,100,1,3.875
"north",6,2,7,2,1,4,100,0,3.73333333333333
"plant",9,1,10,1,1,10,100,1,2.4
"ramsay",10,2,8,2,1,11,100,1,6.50833333333333
"raw",4,2,9,0,0,6,0,1,5.65
"red",4,2,8,2,1,9,100,1,3.45
"rock",3,2,9,2,1,3,100,0,2.92666666666667
"room",4,2,5,1,0,1,50,1,3.76041666666667
"room",2,1,10,1,1,9,100,0,3.76041666666667
"runners",3,3,7,3,1,1,100,0,4.9374269005848
"sandcastle",7,2,5,0,0,7,0,1,6.77430555555556
"scary",9,1,10,1,1,12,100,1,3.10666666666667
"scary",6,2,10,2,1,3,100,0,3.10666666666667
"sculpture",9,1,10,1,1,9,100,1,2.3125
"shapeshifter",10,1,10,1,1,1,100,1,2.84
"small",1,1,10,1,1,11,100,1,2.57142857142857
"smelly",1,3,10,2,0,4,66.67,1,4.55555555555556
"snow",1,1,10,1,1,6,100,1,1.8
"snow",9,1,10,1,1,6,100,1,1.8
"speleology",11,1,10,1,1,9,100,0,2.65
"spice",10,1,10,1,1,6,100,1,2.5
"spice",6,1,10,1,1,6,100,0,2.5
"spicy",3,2,8,2,1,7,100,0,4.52083333333333
"stone",4,2,10,2,1,7,100,1,3.16666666666667
"stone",2,2,6,1,0,3,50,0,3.16666666666667
"stone",7,2,8,2,1,3,100,1,3.16666666666667
"sweet",9,2,9,1,0,8,50,1,3.79166666666667
"theoretical",7,3,4,1,0,6,33.33,1,4.7625
"think",10,2,9,2,1,3,100,1,2.425
"thought",3,2,8,2,1,5,100,0,2.58333333333333
"thoughts",4,2,7,1,0,3,50,1,2.98958333333333
"tiny",11,1,10,1,1,3,100,0,2.57894736842105
"tree",2,1,10,1,1,8,100,0,2.4
"tree",5,1,10,1,1,10,100,1,2.4
"undead",4,1,10,1,1,14,100,1,5.86666666666667
"underground",9,1,10,1,1,7,100,1,2.66666666666667
"unreal",11,2,8,2,1,7,100,0,3.93333333333333
"vertebrate",11,2,9,2,1,2,100,0,2.93333333333333
"wasp",5,1,10,1,1,9,100,1,5.85
"white",7,2,9,1,0,10,50,1,3.29277777777778
"white",3,3,8,3,1,2,100,0,3.29277777777778
"witchcraft",7,2,5,1,0,5,50,1,6.35333333333333
"woman",6,2,5,0,0,9,0,0,5.5175
